"opr.id.md5","m.call","call.sd","start.dt","last.dt","days","l_s"
"08B645DF9EC6270D0494D6DBE031188E",87.7551020408163,64.9055501646575,"2014-10-11","2015-03-28",49,169
"2CA266E84D75AF31EFAF63117197AFD0",87.7102803738318,16.6348176265272,"2014-10-01","2015-03-30",107,181
"47AA63A29F90C967D81740C836C9344C",87.0470588235294,43.3067425417779,"2014-11-19","2015-03-31",85,133
"6AA95E32AF05F008976DEF42B08B502B",87,NA,"2014-10-05","2014-10-05",1,1
"7553EDCF20E8DAE5917D4ACF5CDD6586",86.3440860215054,28.8694567890854,"2014-10-01","2015-03-31",93,182
"C530E129E2DC5F30669E3DAF3A4D7452",85.2,21.3645057341179,"2014-10-01","2015-03-31",115,182
"39DB88D8279E2F17F6196A11744DBA5C",84.5412844036697,36.4901133515519,"2014-10-21","2015-03-31",109,162
"BDFEC5053E3C3C8277666D3D4E37237E",84.1857142857143,34.4639496173485,"2014-10-01","2015-03-31",140,182
"EF1B6D63808620B11407BDC12B70A0E1",84.0625,22.6198852898576,"2014-10-01","2015-03-31",96,182
"760D41657A058BC3FF9C78EA5524A667",83.8914728682171,31.97856711682,"2014-10-01","2015-03-31",129,182
"2E5D42DA3371860C0706CC13A0A98E23",83.6,23.3194764048848,"2014-10-02","2015-03-31",100,181
"004772E990FAC29BE990C209E6FB5D4B",83.5851063829787,20.1192197065757,"2014-10-01","2015-03-31",94,182
"146545D0493419DD7381A3D849367F24",83.5172413793103,42.1483708391504,"2014-11-17","2015-03-31",87,135
"8811C98E623E0FFC8A854F2F1C2F19EE",83.4769230769231,31.8244251632419,"2014-10-01","2015-03-31",130,182
"9307AC751E652D2AAB8ED6A7DCA3665F",83.1824817518248,32.724388049395,"2014-10-01","2015-03-31",137,182
"6638F704A795C0F67F94DB889A50F746",83.1785714285714,22.229532527746,"2014-10-11","2015-03-15",28,156
"0C2E6404D6FBC949F8CB7CAFCE982D3F",82.979797979798,27.4638834441949,"2014-10-01","2015-03-31",99,182
"672C70C772CC4CDC458D2EBFFEC0934E",82.6451612903226,27.8868776286664,"2014-10-01","2015-03-31",124,182
"B4188ECF26FD1BFC2F6B666B26C153C8",82.5746268656716,29.4976427924479,"2014-10-01","2015-03-29",134,180
"69061B46824F2D64E67CDA16542F23E0",81.7327586206897,22.4310955589782,"2014-10-01","2015-03-31",116,182
"8094E602E506CFF63ADD45672E86F924",80.9255319148936,52.6667835907989,"2014-10-22","2015-03-31",94,161
"9A7DF2D62DFD00D43610DD4358E32752",80.875,61.6780547069412,"2014-10-02","2015-03-31",112,181
"8F919DEB7BCFC50E2150E56F9E097A7C",80.5419847328244,33.4604840513943,"2014-10-01","2015-03-31",131,182
"CF91CBB9E73869ECDA2864E0F8624470",80.4189189189189,33.4258561049601,"2014-12-05","2015-03-31",74,117
"C9EC8987D709A0700251243FCBCD03BA",80.3515625,30.5821701551351,"2014-10-01","2015-03-31",128,182
"FC628DACED7FCE3F60F167412E9E2F2E",79.869918699187,30.3468904474478,"2014-10-01","2015-03-31",123,182
"496783A5F6AF4AF865964A4E57260A47",79.1408450704225,33.2979174701224,"2014-12-12","2015-03-31",71,110
"780397A4476C9BAAC9A4B102A5386D7E",78.9,42.7514453083094,"2014-11-27","2015-03-31",80,125
"EA50D45B4A3BC5A0FD83327D9E852AFD",78.5333333333333,41.6637691876449,"2014-11-17","2015-03-31",90,135
"F35E05A63A07CF68BFBDD920358975F4",78.1486486486486,33.8561349663715,"2014-12-05","2015-03-31",74,117
"2954AD62F622C47BA3DAD3AD84AA1512",78.1195652173913,32.8515951713671,"2014-10-01","2015-02-26",92,149
"6607B17DADC05AFEDECC5D88E5B25623",77.7801418439716,31.798717898364,"2014-10-01","2015-03-31",141,182
"D7C947F1413EF992E88E0B029364392A",77.062015503876,29.7433689926176,"2014-10-01","2015-03-28",129,179
"5D17956778C9BECE2F53835D259E49D7",76.0454545454545,37.5539180473963,"2014-11-19","2015-03-31",88,133
"6C421DFC966027E12F58662FF069945E",75.5974025974026,30.4584530399327,"2014-12-04","2015-03-31",77,118
