"cty","dist","vil","vil.pay"
"臺北市","士林區","新安里",363.6
"臺北市","士林區","公館里",176.2
"臺北市","士林區","陽明里",194.1
"臺北市","士林區","菁山里",341.4
"臺北市","士林區","平等里",87.2
"臺北市","士林區","溪山里",196.8
"臺北市","士林區","百齡里",85
"臺北市","士林區","天玉里",156
"臺北市","士林區","天福里",127
"臺北市","士林區","天祿里",128.7
"臺北市","士林區","天壽里",291.7
"臺北市","士林區","東山里",155.6
"臺北市","士林區","福華里",79.8
"臺北市","士林區","聖山里",143.4
"臺北市","士林區","天和里",171.1
"臺北市","士林區","明勝里",96.7
"臺北市","士林區","社園里",78.4
"臺北市","士林區","蘭興里",138.8
"臺北市","士林區","天母里",219.1
"臺北市","士林區","名山里",129.6
"臺北市","士林區","德華里",107.1
"臺北市","士林區","天山里",142.3
"臺北市","士林區","臨溪里",219.7
"臺北市","北投區","湖山里",131.8
"臺北市","北投區","永欣里",204.8
"臺北市","北投區","泉源里",101.1
"臺北市","北投區","一德里",97.6
"臺北市","北投區","關渡里",100.1
"臺北市","北投區","桃源里",91.8
"臺北市","北投區","文化里",112.9
"臺北市","北投區","永和里",150.1
"臺北市","北投區","立農里",97.9
"臺北市","北投區","清江里",89.8
"臺北市","北投區","八仙里",104.1
"臺北市","北投區","洲美里",78.3
"臺北市","北投區","中和里",102
"臺北市","北投區","開明里",121.6
"臺北市","北投區","長安里",93.3
"臺北市","北投區","大同里",109.3
"臺北市","北投區","福興里",101.1
"臺北市","北投區","石牌里",98.9
"臺北市","北投區","奇岩里",184.2
"臺北市","北投區","稻香里",92.4
"臺北市","北投區","中央里",107.1
"臺北市","北投區","溫泉里",100.7
"臺北市","北投區","立賢里",94
"臺北市","北投區","中心里",109.8
"臺北市","北投區","智仁里",87.1
"臺北市","北投區","吉利里",104.2
"臺北市","北投區","尊賢里",95.5
"臺北市","北投區","東華里",107.4
"臺北市","北投區","吉慶里",101.6
"臺北市","北投區","中庸里",93.4
"臺北市","北投區","秀山里",82.3
"臺北市","北投區","建民里",107.5
"臺北市","北投區","榮光里",97.9
"臺北市","北投區","裕民里",130.7
"臺北市","北投區","振華里",112.5
"臺北市","北投區","榮華里",164.4
"臺北市","北投區","豐年里",82.1
"臺北市","北投區","林泉里",87.7
"臺北市","北投區","永明里",117.8
"臺北市","北投區","文林里",112.4
"臺北市","北投區","大屯里",144.3
"臺北市","北投區","湖田里",111
"臺北市","信義區","松友里",99.4
"臺北市","信義區","六藝里",95.1
"臺北市","信義區","中興里",121.2
"臺北市","信義區","永吉里",79
"臺北市","信義區","敦厚里",108
"臺北市","信義區","大道里",100.2
"臺北市","信義區","安康里",336.5
"臺北市","信義區","嘉興里",105.5
"臺北市","信義區","五全里",107.5
"臺北市","信義區","新仁里",130.8
"臺北市","信義區","正和里",133.1
"臺北市","信義區","惠安里",97.7
"臺北市","信義區","三犁里",214.6
"臺北市","信義區","六合里",150.5
"臺北市","信義區","泰和里",94.4
"臺北市","信義區","西村里",109.9
"臺北市","信義區","興隆里",568.5
"臺北市","信義區","景新里",285.9
"臺北市","信義區","景聯里",112.1
"臺北市","信義區","景勤里",94.6
"臺北市","信義區","黎順里",102.5
"臺北市","信義區","黎平里",105.6
"臺北市","信義區","黎忠里",94.9
"臺北市","信義區","松隆里",80.6
"臺北市","信義區","中坡里",99.2
"臺北市","信義區","永春里",89.7
"臺北市","信義區","富臺里",114.5
"臺北市","信義區","長春里",86.9
"臺北市","信義區","五常里",106.2
"臺北市","信義區","四維里",108.6
"臺北市","信義區","雅祥里",107.8
"臺北市","信義區","興雅里",110.9
"臺北市","信義區","廣居里",127.7
"臺北市","信義區","中行里",90.1
"臺北市","信義區","四育里",93.3
"臺北市","信義區","國業里",125.5
"臺北市","信義區","松光里",101.9
"臺北市","信義區","大仁里",87.3
"臺北市","信義區","雙和里",103.5
"臺北市","信義區","黎安里",72.3
"臺北市","信義區","三張里",132.6
"臺中市","中　區","繼光里",84.9
"臺中市","中　區","大墩里",97.7
"臺中市","中　區","綠川里",70.4
"臺中市","中　區","公園里",98.2
"臺中市","中　區","光復里",106
"臺中市","中　區","柳川里",87.4
"臺中市","中　區","大誠里",90.5
"臺中市","中　區","中華里",86.1
"臺中市","東　區","新庄里",88
"臺中市","東　區","泉源里",67
"臺中市","東　區","東門里",70.8
"臺中市","東　區","東勢里",69
"臺中市","東　區","合作里",73.1
"臺中市","東　區","振興里",73.1
"臺中市","東　區","東橋里",81.9
"臺中市","東　區","旱溪里",78.3
"臺中市","東　區","樂成里",72
"臺中市","東　區","干城里",77
"臺中市","東　區","東南里",76.7
"臺中市","東　區","十甲里",78.1
"臺中市","東　區","富臺里",64.8
"臺中市","東　區","富仁里",84.6
"臺中市","東　區","東興里",80.6
"臺中市","東　區","東信里",77.7
"臺中市","東　區","東英里",84.4
"臺中市","西　區","民生里",110.9
"臺中市","西　區","利民里",117.5
"臺中市","西　區","三民里",122.2
"臺中市","西　區","東昇里",102.8
"臺中市","西　區","廣民里",95.6
"臺中市","西　區","平和里",100.4
"臺中市","西　區","公民里",105.2
"臺中市","西　區","公<U+8218>里",87.6
"臺中市","西　區","和龍里",71.5
"臺中市","西　區","民龍里",113.2
"臺中市","西　區","後龍里",125.5
"臺中市","西　區","安龍里",96.6
"臺中市","西　區","忠明里",133.8
"臺中市","西　區","公正里",100.2
"臺中市","西　區","昇平里",98.4
"臺中市","西　區","土庫里",127
"臺中市","西　區","藍興里",96.5
"臺中市","西　區","吉龍里",126
"臺中市","西　區","忠誠里",113.6
"臺中市","西　區","公益里",70.8
"臺中市","西　區","中興里",136.5
"臺中市","西　區","公平里",107.9
"臺中市","西　區","公德里",104.3
"臺中市","西　區","大忠里",105.6
"臺中市","西　區","<U+53CC>龍里",99.5
"臺中市","南　區","城隍里",82.7
"臺中市","南　區","南門里",93.6
"臺中市","南　區","德義里",91.4
"臺中市","南　區","積善里",76.5
"臺中市","南　區","江川里",95.1
"臺中市","南　區","新榮里",88
"臺中市","南　區","福興里",80.6
"臺中市","南　區","和平里",88.3
"臺中市","南　區","永興里",89.9
"臺中市","南　區","樹義里",88.3
"臺中市","南　區","樹德里",88.4
"臺中市","南　區","西川里",93.7
"臺中市","南　區","國光里",82.8
"臺中市","南　區","福平里",77.2
"臺中市","南　區","長榮里",84.1
"臺中市","南　區","長春里",93.9
"臺中市","南　區","福順里",87.9
"臺中市","南　區","平和里",83.9
"臺中市","南　區","南和里",91.6
"臺中市","南　區","永和里",79.2
"臺中市","南　區","工學里",90.2
"臺中市","南　區","崇倫里",85.7
"臺中市","北　區","光大里",69.1
"臺中市","北　區","新興里",86.5
"臺中市","北　區","錦村里",79.7
"臺中市","北　區","邱厝里",109.6
"臺中市","北　區","賴厝里",100.1
"臺中市","北　區","賴村里",92.5
"臺中市","北　區","淡溝里",107.9
"臺中市","北　區","中達里",81.8
"臺中市","北　區","新北里",122.9
"臺中市","北　區","樂英里",73.9
"臺中市","北　區","錦洲里",84.2
"臺中市","北　區","金龍里",75.6
"臺中市","北　區","文莊里",80.8
"臺中市","北　區","金華里",111.6
"臺中市","北　區","五常里",85.9
"臺中市","北　區","育德里",106.8
"臺中市","北　區","頂厝里",105.8
"臺中市","北　區","建興里",82.4
"臺中市","北　區","建成里",69.3
"臺中市","北　區","健行里",118.6
"臺中市","北　區","明德里",90.9
"臺中市","北　區","長青里",82.2
"臺中市","北　區","賴興里",93.1
"臺中市","北　區","賴明里",84.9
"臺中市","北　區","錦祥里",81.5
"臺中市","北　區","建德里",75.2
"臺中市","北　區","崇德里",94.2
"臺中市","北　區","賴旺里",75.6
"臺中市","北　區","明新里",81.2
"臺中市","北　區","立人里",83.3
"臺中市","北　區","賴福里",114.7
"臺中市","北　區","梅川里",105.9
"臺中市","北　區","錦平里",91.8
"臺中市","北　區","中正里",94.8
"臺中市","北　區","大湖里",63.2
"臺中市","北　區","六合里",73.5
"臺中市","西屯區","西安里",92.6
"臺中市","西屯區","西墩里",95.8
"臺中市","西屯區","潮洋里",132.3
"臺中市","西屯區","龍潭里",75.2
"臺中市","西屯區","惠來里",208.4
"臺中市","西屯區","何安里",86.3
"臺中市","西屯區","何厝里",101.1
"臺中市","西屯區","上石里",89.3
"臺中市","西屯區","大河里",73.7
"臺中市","西屯區","大石里",69.2
"臺中市","西屯區","港尾里",80.7
"臺中市","西屯區","廣福里",77.4
"臺中市","西屯區","林厝里",146.4
"臺中市","西屯區","永安里",99.5
"臺中市","西屯區","福安里",121.6
"臺中市","西屯區","協和里",126.9
"臺中市","西屯區","鵬程里",71.9
"臺中市","西屯區","逢甲里",82.3
"臺中市","西屯區","大福里",64.6
"臺中市","西屯區","大鵬里",74.1
"臺中市","西屯區","西平里",90.3
"臺中市","西屯區","何仁里",83.7
"臺中市","西屯區","何德里",95.1
"臺中市","西屯區","何源里",86.9
"臺中市","西屯區","何南里",96.4
"臺中市","西屯區","至善里",100.6
"臺中市","西屯區","上安里",97.3
"臺中市","西屯區","上德里",92.5
"臺中市","西屯區","逢福里",93.5
"臺中市","西屯區","何明里",88.4
"臺中市","西屯區","何成里",99.9
"臺中市","西屯區","何福里",83.3
"臺中市","西屯區","福和里",73.6
"臺中市","西屯區","福中里",100.4
"臺中市","西屯區","福恩里",100.9
"臺中市","西屯區","福聯里",93.9
"臺中市","西屯區","福瑞里",118
"臺中市","西屯區","福林里",140.4
"臺中市","西屯區","福雅里",116.5
"臺中市","南屯區","南屯里",106
"臺中市","南屯區","豐樂里",124.1
"臺中市","南屯區","楓樹里",89.5
"臺中市","南屯區","中和里",70.6
"臺中市","南屯區","鎮平里",85
"臺中市","南屯區","春社里",77.2
"臺中市","南屯區","文山里",89.1
"臺中市","南屯區","新生里",69.2
"臺中市","南屯區","永定里",88.2
"臺中市","南屯區","三厝里",120.3
"臺中市","南屯區","溝墘里",134
"臺中市","南屯區","田心里",106.7
"臺中市","南屯區","春安里",85.1
"臺中市","南屯區","黎明里",93.6
"臺中市","南屯區","大同里",98
"臺中市","南屯區","文心里",112
"臺中市","南屯區","同心里",106.2
"臺中市","南屯區","向心里",118.7
"臺中市","南屯區","大業里",114.3
"臺中市","南屯區","惠中里",136.1
"臺中市","南屯區","大誠里",111
"臺中市","南屯區","大興里",94.5
"臺中市","南屯區","寶山里",89
"臺中市","南屯區","三和里",146.9
"臺中市","南屯區","三義里",120.6
"臺中市","北屯區","北屯里",97.6
"臺中市","北屯區","三光里",83.3
"臺中市","北屯區","舊社里",81.5
"臺中市","北屯區","水景里",102.2
"臺中市","北屯區","軍功里",92.7
"臺中市","北屯區","和平里",85.2
"臺中市","北屯區","平田里",82.1
"臺中市","北屯區","東山里",79.1
"臺中市","北屯區","大坑里",76
"臺中市","北屯區","民德里",77.6
"臺中市","北屯區","<ed><U+00AE><U+00BF><ed><U+00BE><U+00B4>子里",109.1
"臺中市","北屯區","平和里",91.8
"臺中市","北屯區","民政里",104.2
"臺中市","北屯區","松竹里",101.2
"臺中市","北屯區","仁美里",99.3
"臺中市","北屯區","仁和里",110.7
"臺中市","北屯區","四民里",72.7
"臺中市","北屯區","同榮里",91.2
"臺中市","北屯區","陳平里",79.8
"臺中市","北屯區","后庄里",93.4
"臺中市","北屯區","仁愛里",70.5
"臺中市","北屯區","北興里",79.3
"臺中市","北屯區","東光里",76.6
"臺中市","北屯區","新平里",71.4
"臺中市","北屯區","水湳里",80.5
"臺中市","北屯區","平安里",84.7
"臺中市","北屯區","平德里",89.4
"臺中市","北屯區","平順里",83.3
"臺中市","北屯區","大德里",78.9
"臺中市","北屯區","松安里",79.2
"臺中市","北屯區","松茂里",85.8
"臺中市","北屯區","平心里",83.4
"臺中市","北屯區","平福里",110.6
"臺中市","北屯區","平昌里",85.3
"臺中市","北屯區","平陽里",91.5
"臺中市","北屯區","忠平里",90.2
"臺中市","北屯區","松勇里",88.3
"臺中市","北屯區","松強里",105.4
"臺中市","北屯區","松和里",75.8
"臺中市","北屯區","平興里",86.6
"臺中市","北屯區","北京里",85.6
"臺中市","北屯區","三和里",76.2
"臺中市","豐原區","豐原里",80.3
"臺中市","豐原區","頂街里",81.4
"臺中市","豐原區","中山里",154.4
"臺中市","豐原區","豐榮里",131.9
"臺中市","豐原區","下街里",83.4
"臺中市","豐原區","豐西里",97.6
"臺中市","豐原區","葫蘆里",79
"臺中市","豐原區","富春里",75.7
"臺中市","豐原區","東勢里",78.2
"臺中市","豐原區","西勢里",85.3
"臺中市","豐原區","圳寮里",67.1
"臺中市","豐原區","大湳里",77
"臺中市","豐原區","東湳里",66.7
"臺中市","豐原區","西湳里",72
"臺中市","豐原區","南陽里",81.8
"臺中市","豐原區","北陽里",78.5
"臺中市","豐原區","東陽里",64.7
"臺中市","豐原區","田心里",76.5
"臺中市","豐原區","鎌村里",65.9
"臺中市","豐原區","社皮里",70.3
"臺中市","豐原區","三村里",81.3
"臺中市","豐原區","南村里",85.1
"臺中市","豐原區","南田里",65.8
"臺中市","豐原區","南嵩里",72.2
"臺中市","豐原區","翁明里",95.9
"臺中市","豐原區","翁子里",66.9
"臺中市","豐原區","翁社里",75.5
"臺中市","豐原區","朴子里",70.1
"臺中市","豐原區","豐田里",72.8
"臺中市","豐原區","豐圳里",68.7
"臺中市","豐原區","北湳里",75.8
"臺中市","豐原區","陽明里",78.6
"臺中市","豐原區","民生里",81.3
"臺中市","豐原區","中陽里",76.6
"臺中市","豐原區","西安里",80.8
"臺中市","豐原區","中興里",68.9
"臺中市","東勢區","北興里",69.5
"臺中市","東勢區","中寧里",58.8
"臺中市","東勢區","東安里",73.9
"臺中市","東勢區","南平里",67.4
"臺中市","東勢區","新盛里",65
"臺中市","東勢區","詒福里",68
"臺中市","東勢區","下城里",63.3
"臺中市","東勢區","上城里",74.5
"臺中市","東勢區","慶東里",63.6
"臺中市","東勢區","慶福里",59.1
"臺中市","東勢區","隆興里",59.3
"臺中市","東勢區","福隆里",67.4
"臺中市","東勢區","中嵙里",70.7
"臺中市","東勢區","上新里",66.1
"臺中市","東勢區","廣興里",79.7
"臺中市","東勢區","粵寧里",68.3
"臺中市","東勢區","下新里",61.9
"臺中市","東勢區","興隆里",59.4
"臺中市","東勢區","茂興里",60.5
"臺中市","東勢區","泰興里",65.9
"臺中市","東勢區","埤頭里",58.4
"臺中市","東勢區","明正里",56.7
"臺中市","東勢區","泰昌里",75
"臺中市","東勢區","延平里",68.9
"臺中市","東勢區","東新里",72.5
"臺中市","大甲區","朝陽里",77.9
"臺中市","大甲區","大甲里",98.2
"臺中市","大甲區","順天里",77.7
