"cty","dist","vil","vil.pay","fam.num","t.pay","med.pay","Q1.pay","Q3.pay","sd.pay","var.pay"
"臺北市","萬華區","和平里",727,1884,1369122,548,335,915,629.79,86.66
"臺北市","萬華區","騰雲里",902,969,873887,615,361,1139,1122.84,124.51
"臺北市","萬華區","榮德里",772,951,734337,593,345,990,674.67,87.37
"臺北市","萬華區","福星里",943,1513,1426196,614,362,1106,1264.52,134.15
"臺北市","萬華區","和德里",726,1661,1205231,532,330,910,686.67,94.63
"臺北市","萬華區","萬壽里",1020,1048,1068797,634,319,1151,1442.49,141.44
"臺北市","萬華區","銘德里",825,1398,1153300,603,342,1015,783.26,94.95
"臺北市","萬華區","華江里",777,2406,1870152,561,327,952,804.34,103.48
"臺北市","萬華區","錦德里",790,1577,1246400,590,335,975,844.92,106.9
"臺北市","萬華區","新忠里",835,938,783311,577,343,1076,835.62,100.06
"臺北市","大同區","建泰里",1033,1324,1368011,682,370,1233,1299.57,125.78
"臺北市","大同區","建明里",1140,1242,1415657,593,333,1154,3072.79,269.59
"臺北市","大同區","雙連里",931,2962,2756864,636,354,1143,1273.33,136.81
"臺北市","大同區","建功里",966,1420,1372328,613,346,1138,1831.81,189.54
"臺北市","大同區","景星里",747,757,565255,568,332,921,839.07,112.37
"臺北市","大同區","星明里",1110,1878,2084428,688,378,1260,2067.58,186.28
"臺北市","大同區","朝陽里",1140,1430,1630551,641,338,1196,2674.7,234.57
"臺北市","大同區","大有里",991,1710,1694146,604,327,1151,1514.42,152.86
"臺北市","大同區","斯文里",917,1619,1484733,582,345,1068,1337.16,145.81
"臺北市","大同區","揚雅里",1020,1121,1142992,587,341,1055,2065.86,202.61
"臺北市","大同區","國順里",703,793,557475,527,334,853,631.92,89.89
"臺北市","大同區","國慶里",1038,1476,1532745,691,377,1337,1177.78,113.42
"臺北市","大同區","隆和里",930,931,866050,609,364,1087,1226.4,131.84
"臺北市","大同區","南芳里",915,1278,1169611,617,338,1104,1041.01,113.75
"臺北市","大同區","鄰江里",817,1996,1630256,575,339,1010,853.96,104.55
"臺北市","大同區","玉泉里",1103,1102,1216017,667,372,1181,2252.67,204.15
"臺北市","大同區","光能里",933,1640,1529662,620,353,1127,1249.36,133.95
"臺北市","大同區","重慶里",1061,2210,2344084,690,389,1277,1725.05,162.64
"臺北市","大同區","至聖里",947,2651,2510935,617,347,1106,1810.05,191.1
"臺北市","大同區","老師里",837,1765,1477803,601,353,1038,825.99,98.65
